rapidnas_id,rapidnas_name,iptv_org_id,iptv_org_name,country,programme_count,score,method,status,notes
elb100,Red Lips,RedLips.ru,Red Lips,RU,637,1.0,exact,verified,
elb101,Romance HD,Romance.sa,Romance,SA,170,1.0,exact,verified,
elb104,RTG,RTG.mx,RTG,MX,371,1.0,exact,verified,
elb105,RTG HD,RTG.mx,RTG,MX,370,1.0,exact,verified,
elb107,RU.TV,RUTV.ru,RU.TV,RU,129,1.0,exact,verified,
elb108,Russian Extreme,RussianExtreme.ru,Russian Extreme,RU,244,1.0,exact,verified,
elb1085,BT Sport 1 HD,TNTSports1.uk,TNT Sports 1,UK,143,1.0,exact,verified,
elb1087,BT Sport 2 HD,TNTSports2.uk,TNT Sports 2,UK,172,1.0,exact,verified,
elb1088,BT Sport 3 HD,TNTSports3.uk,TNT Sports 3,UK,162,1.0,exact,verified,
elb1089,BT Sport 4 HD,TNTSports4.uk,TNT Sports 4,UK,175,1.0,exact,verified,
elb109,Russian Extreme HD,RussianExtreme.ru,Russian Extreme,RU,244,1.0,exact,verified,
elb11,360 Новости HD,360News.ru,360° News,RU,411,1.0,exact,verified,
elb110,Russian Extreme UHD,RussianExtreme.ru,Russian Extreme,RU,238,1.0,exact,verified,
elb1106,C Music TV,StingrayCMusic.ca,Stingray CMusic,CA,88,1.0,exact,verified,
elb1108,Canal+ 4K,CanalK.cv,Canal K,CV,177,1.0,exact,verified,
elb1109,Canal+ Dokument HD,CanalPlusDokument.pl,Canal+ Dokument,PL,212,1.0,exact,verified,
elb111,RUSSIAN MUSICBOX,RussianMusicBox.ru,Russian MusicBox,RU,57,1.0,exact,verified,
elb1110,Canal+ Domo HD,CanalPlusDomo.pl,Canal+ Domo,PL,300,1.0,exact,verified,
elb1120,Canal+ Kuchnia HD,CanalPlusKuchnia.pl,Canal+ Kuchnia,PL,348,1.0,exact,verified,
elb1121,Canal+ Premium HD,CanalPlusPremium.pl,Canal+ Premium,PL,158,1.0,exact,verified,
elb1122,Canal+ Seriale HD,CanalPlusSeriale.pl,Canal+ Seriale,PL,244,1.0,exact,verified,
elb114,SHANT Music,ShantMusic.ru,Shant Music,RU,153,1.0,exact,verified,
elb1143,CBC Sport,CBCSport.az,CBC Sport,AZ,89,1.0,exact,verified,
elb1156,Че +2,Che.ru,Che!,RU,325,1.0,exact,verified,
elb1157,Че +4,Che.ru,Che!,RU,324,1.0,exact,verified,
elb1158,Че +7,Che.ru,Che!,RU,321,1.0,exact,verified,
elb116,SHANT Serial,ShantSerial.ru,Shant Serial,RU,198,1.0,exact,verified,
elb1160,Чижик,Chizhik.ru,Chizhik,RU,344,1.0,exact,verified,
elb1162,Cine+,CinePlus.ua,Cine+,UA,94,1.0,exact,verified,
elb1163,Cine+ Hit,CinePlusHit.ua,Cine+ Hit,UA,96,1.0,exact,verified,
elb1164,Cine+ Kids,CinePlusKids.ua,Cine+ Kids,UA,132,1.0,exact,verified,
elb1165,Cine+ Legend HD,CinePlusLegend.ua,Cine+ Legend,UA,100,1.0,exact,verified,
elb117,SHANT TV,ShantTV.am,Shant TV,AM,236,1.0,exact,verified,
elb118,Shopping Live,ShoppingLive.ru,Shopping Live,RU,184,1.0,exact,verified,
